Name,#hexadecimal,R,G,B
white,#ffffff,255,255,255
pxlsLightGrey,#cdcdcd,205,205,205
pxlsMediumGrey,#888888,136,136,136
pxlsDeepGrey,#555555,85,85,85
pxlsDarkGrey,#222222,34,34,34
black,#000000,0,0,0
pxlsPink,#ffa7d1,255,167,209
pxlsWatermelon,#fd4659,253,70,89
pxlsRed,#e50000,229,0,0
pxlsMaroon,#800000,128,0,0
pxlsBeige,#ffddca,255,221,202
pxlsPeach,#f6b389,246,179,137
pxlsOrange,#e59500,229,149,0
pxlsRust,#ff5b00,255,91,0
pxlsBrown,#a06a42,160,106,66
pxlsChocolate,#604028,96,64,40
pxlsYellow,#ffff00,255,255,0
pxlsLime,#94e044,148,224,68
pxlsGreen,#02be01,2,190,1
pxlsForest,#005f00,0,95,0
pxlsAqua,#43ebc2,67,235,194
pxlsCyan,#00d3dd,0,211,221
pxlsCerulean,#0083c7,0,131,199
pxlsBlue,#0000ea,0,0,234
pxlsNavy,#030764,3,7,100
pxlsMauve,#cf6ee4,207,110,228
pxlsMagenta,#ff00ff,255,0,255
pxlsPurple,#820080,130,0,128
